ID,productName,price,desciption,linkToDetails,imgPath,,,,,,,
28,HP,"735,000 DT","Ecran:&nbsp;15.6 HD SVA Bright View rétro éclairé&nbsp; WLED -&nbsp;&nbsp;Processeur&nbsp;:Pentium N3710 (1,6 GHz&nbsp;2 Mo , 4 coeurs) -&nbsp;Système d'exploitation :&nbsp;FreeDOS 2.0 -&nbsp;Mémoire RAM&nbsp;:&nbsp;4 Go&nbsp;DDR3L&nbsp;1600(1*Go) -&nbsp;Disque&nbsp;Dur:&nbsp;SATA 500 Go,(5400 tr&nbsp;/min) - Lecteur optique&nbsp;:Graveur de DVD -&nbsp;Carte graphique&nbsp;&nbsp;Intégré Intel HD 520&nbsp;-Couleur: Noir &nbsp;-&nbsp;Garantie&nbsp;1&nbsp;an",https://www.wiki.tn/pc-portable-hp-15-ra038nk-quad-core-4go-500go-noir-9970.html,https://www.wiki.tn/img/m/16-manu_default.jpg,,,,,,,
29,LENOVO,"749,000 DT","Ecran&nbsp;&nbsp;15.6 ""HD LED,&nbsp; Processeur:&nbsp;Intel Pentium Quad Core N3710 (up to 2.56 GHz, 2Mo Cache),&nbsp;Systéme d'exploitation&nbsp;&nbsp;FreeDos,&nbsp; Mémoire RAM&nbsp; 4Go,&nbsp; Disque Dur:&nbsp;500Go,&nbsp; Carte graphique:&nbsp;Intel HD Graphique,&nbsp;avec Wifi, Bluetooth, Webcam,&nbsp;+sacoche lenovo offerte&nbsp;Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-lenovo-quad-core-4go-500go-3033.html,https://www.wiki.tn/img/m/12-manu_default.jpg,,,,,,,
30,ASUS,"769,000 DT","Ecran11&nbsp;,6 HD LED,&nbsp;ProcesseuR Intel® Celeron® Dual-Core N3350,&nbsp;Mémoire&nbsp;2Go,&nbsp;Disque&nbsp;&nbsp;dur&nbsp;&nbsp;32GO eMMC ,Carte graphique&nbsp;&nbsp;Integrated Intel HD Graphics,-&nbsp;Systéme d'exploitation: Windows 10 Home, couleur:gris ,&nbsp; Graveur DVD,&nbsp; Bluetooth, ,&nbsp;HMDI ,WIFI,&nbsp;Garantie 1 an&nbsp;",https://www.wiki.tn/pc-portable-asus-vivobook-flip-12-tp202na-eh007t-cel-n3350-2g-9899.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
31,HP,"799,000 DT","Ecran:&nbsp;11.6"" HD SVA&nbsp;&nbsp;rétro éclairé&nbsp; WLED -&nbsp;&nbsp;Processeur&nbsp;: Celeron&nbsp;N3060&nbsp;(1,6 GHz&nbsp;2 Mo , 2coeurs) -&nbsp;Système d'exploitation :&nbsp;windows 10 -&nbsp;Mémoire RAM&nbsp;:&nbsp;2 Go&nbsp;DDR3L&nbsp;1600(intégréé) -&nbsp;Disque&nbsp;Dur:&nbsp;eMMC 32 Go &nbsp;-&nbsp;Carte graphique&nbsp;&nbsp;Intel HD 400 - Lecteur de Carte 1 lecteur de carte microSD - Couleur: blanc &nbsp;-&nbsp;Garantie&nbsp;1&nbsp;an",https://www.wiki.tn/pc-portable-hp-stream-11-y003nk-dual-core-2go-32go-blanc--9966.html,https://www.wiki.tn/img/m/16-manu_default.jpg,,,,,,,
32,HP,"815,000 DT","Ecran&nbsp;15.6""&nbsp;HD LED (1366 x 768) - Processeur&nbsp;Intel Celeron&nbsp;N4000&nbsp;(1.10 GHz, jusqu'à 2.6 GHz,&nbsp;4 Mo&nbsp;de mémoire cache,&nbsp;Dual-Core) -&nbsp;Systéme d'exploitation:&nbsp;FreeDos -&nbsp;Mémoire RAM&nbsp;4 Go DDR4&nbsp;- Disque Dur:&nbsp;1 To&nbsp;SATA, (5400 tr/ min)&nbsp;-&nbsp;Carte Graphique:&nbsp;Intel UHD 600 avec &nbsp;USB 3.1, Bluetooth 4.2, HDMI, et Lecteur de Carte Mémoire -&nbsp;Couleur:&nbsp;Bleu&nbsp;-&nbsp;Garantie&nbsp;:&nbsp;1&nbsp;an",https://www.wiki.tn/pc-portable-hp-15-da0002nk-dual-core-4go-1to-bleu--11260.html,https://www.wiki.tn/img/m/16-manu_default.jpg,,,,,,,
33,HP,"815,000 DT","Ecran 15.6"" HD LED - Processeur Intel Celeron N4000, up to 2.6 GHz,&nbsp;4 Mo de mémoire cache - Mémoire 4 Go -&nbsp;Disque&nbsp;1 To - Carte graphique Intel&nbsp;UHD 600 - Wifi - Bluetooth - HDMI&nbsp; - 2x USB 3.1 - Lecteur de cartes - Couleur&nbsp; : Gris&nbsp;- Garantie 1 an",https://www.wiki.tn/pc-portable-hp-15-da0004nk-dual-core-4g-1to-gris-11259.html,https://www.wiki.tn/img/m/16-manu_default.jpg,,,,,,,
34,HP,"815,000 DT","Ecran 15.6"" HD LED-Processeur: Intel Celeron N4000&nbsp;(up to 2.6 GHz,&nbsp;4 Mo de mémoire cache )-&nbsp;Systéme D'exploitation:FreeDos-Mémoire RAM 4 Go-&nbsp;Disque&nbsp;1 To SATA, (5400 tr/ min)&nbsp;- Carte graphique&nbsp;Intel&nbsp;UHD 600&nbsp;-Wifi-Bluetooth-HDMI-2x USB 3.1 - Lecteur de cartes - Couleur Blanc -Garantie 1 an",https://www.wiki.tn/pc-portable-hp-15-da0003nk-dual-core-4go-1to-blanc--11258.html,https://www.wiki.tn/img/m/16-manu_default.jpg,,,,,,,
35,LENOVO,"899,000 DT","Ecran&nbsp;15.6"" HD LED(1366x768),&nbsp;Processeur&nbsp;Celeron N4000 ( 1.10 GHz Up To 2.60 GHz, 2 Cœurs, 4 Mo mémoires cache)&nbsp;,&nbsp;Systéme d'exploitation:&nbsp;Free DOS,&nbsp;Mémoire RAM:&nbsp;4Go&nbsp;DDR3,&nbsp;Disque Dur:&nbsp;500Go,&nbsp;Carte graphique:AMD Radeon 530 2GB GDDR5, avec Wifi, Bluetooth, Webcam,couleur : silver,&nbsp;Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-lenovo-ip330-15igm-celeron-n4000-4go-500go-amd-silver-11151.html,https://www.wiki.tn/img/m/12-manu_default.jpg,,,,,,,
36,LENOVO,"899,000 DT","&nbsp;LENOVO IP &nbsp;330-15IGM : Ecran&nbsp;15.6"" HD LED ,&nbsp;Processeur&nbsp;Celeron N4000 (1.10 GHz Up To 2.60 GHz, 2 Cœurs, 4 Mo mémoires cache) ,&nbsp;Systéme d'exploitation:&nbsp;Free Dos ,&nbsp;Mémoire RAM:&nbsp;4Go&nbsp;DDR3 - Disque Dur:&nbsp;500Go - Carte graphique:AMD Radeon 530 2GB GDDR5-Couleur:&nbsp;Noir&nbsp;- Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-lenovo-ip330-15igm-celeron-n4000-4-go-500go-amd-noir--11148.html,https://www.wiki.tn/img/m/12-manu_default.jpg,,,,,,,
37,HP,"899,000 DT","Ecran:&nbsp;11.6"" HD &nbsp;IPS&nbsp;Tactile-&nbsp;&nbsp;Processeur&nbsp;: Celeron&nbsp;N3060&nbsp;(1,6 GHz&nbsp;2 Mo , 2coeurs) -&nbsp;Système d'exploitation :&nbsp;windows 10 Famille 64 -&nbsp;Mémoire RAM&nbsp;:&nbsp;2 Go&nbsp;DDR3L&nbsp;1600(intégréé) -&nbsp;Disque&nbsp;Dur:&nbsp;32 Go &nbsp;-&nbsp;Carte graphique:&nbsp;Intel HD Graphics&nbsp;-Couleur: bleu &nbsp;-&nbsp;Garantie&nbsp;1&nbsp;an",https://www.wiki.tn/pc-portable-hp-stream-x360-11-y001nk-dual-core-2go-32go-bleu-9968.html,https://www.wiki.tn/img/m/16-manu_default.jpg,,,,,,,
